idx,case,Activity,timestamp,lifecycle,ApplicationType,LoanGoal,RequestedAmount,MonthlyCost,resource,Selected,EventID,OfferID,FirstWithdrawalAmount,Action,Accepted,CreditScore,NumberOfTerms,EventOrigin,OfferedAmount,EventIDraw
5483,Application_1006164631,A_Create Application,2016-07-14T12:34:03.477+0100,COMPLETE,New credit,Car,5000.0,,User_1,,Application_1006164631,,,Created,,,,Application,,Application_1006164631
5484,Application_1006164631,A_Submitted,2016-07-14T12:34:03.520+0100,COMPLETE,New credit,Car,5000.0,,User_1,,ApplState_78134833,,,statechange,,,,Application,,ApplState_78134833
5485,Application_1006164631,W_Handle leads,2016-07-14T12:34:03.731+0100,SCHEDULE,New credit,Car,5000.0,,User_1,,Workitem_242715846,,,Created,,,,Workflow,,Workitem_242715846
5486,Application_1006164631,W_Handle leads,2016-07-14T12:35:21.529+0100,WITHDRAW,New credit,Car,5000.0,,User_1,,Workitem_1188972982,,,Deleted,,,,Workflow,,Workitem_1188972982
5487,Application_1006164631,W_Complete application,2016-07-14T12:35:21.537+0100,SCHEDULE,New credit,Car,5000.0,,User_1,,Workitem_401268488,,,Created,,,,Workflow,,Workitem_401268488
5488,Application_1006164631,A_Concept,2016-07-14T12:35:21.541+0100,COMPLETE,New credit,Car,5000.0,,User_1,,ApplState_568536413,,,statechange,,,,Application,,ApplState_568536413
5489,Application_1006164631,W_Complete application,2016-07-15T14:52:49.917+0100,START,New credit,Car,5000.0,,User_43,,Workitem_1419167329,,,Obtained,,,,Workflow,,Workitem_1419167329
5490,Application_1006164631,W_Complete application,2016-07-15T14:54:20.045+0100,SUSPEND,New credit,Car,5000.0,,User_43,,Workitem_1283350942,,,Released,,,,Workflow,,Workitem_1283350942
5491,Application_1006164631,W_Complete application,2016-07-15T14:56:37.041+0100,RESUME,New credit,Car,5000.0,,User_3,,Workitem_2067391513,,,Obtained,,,,Workflow,,Workitem_2067391513
5492,Application_1006164631,W_Complete application,2016-07-15T14:56:42.394+0100,SUSPEND,New credit,Car,5000.0,,User_3,,Workitem_1650447773,,,Released,,,,Workflow,,Workitem_1650447773
5493,Application_1006164631,W_Complete application,2016-07-16T15:06:57.966+0100,RESUME,New credit,Car,5000.0,,User_17,,Workitem_1931875637,,,Obtained,,,,Workflow,,Workitem_1931875637
5494,Application_1006164631,W_Complete application,2016-07-16T15:08:02.019+0100,SUSPEND,New credit,Car,5000.0,,User_17,,Workitem_1104051641,,,Released,,,,Workflow,,Workitem_1104051641
5495,Application_1006164631,A_Accepted,2016-07-19T20:49:35.197+0100,COMPLETE,New credit,Car,5000.0,,User_15,,ApplState_2067527966,,,statechange,,,,Application,,ApplState_2067527966
5496,Application_1006164631,O_Create Offer,2016-07-19T20:51:46.859+0100,COMPLETE,New credit,Car,5000.0,400.0,User_15,True,Offer_1973148758,Offer_1973148758,5000.0,Created,False,0.0,13.0,Offer,5000.0,Offer_1973148758
5497,Application_1006164631,O_Created,2016-07-19T20:51:47.602+0100,COMPLETE,New credit,Car,5000.0,,User_15,,OfferState_1399614082,Offer_1973148758,,statechange,,,,Offer,,OfferState_1399614082
5498,Application_1006164631,O_Sent (mail and online),2016-07-19T20:51:59.977+0100,COMPLETE,New credit,Car,5000.0,,User_15,,OfferState_2098856182,Offer_1973148758,,statechange,,,,Offer,,OfferState_2098856182
5499,Application_1006164631,W_Complete application,2016-07-19T20:51:59.993+0100,ATE_ABORT,New credit,Car,5000.0,,User_15,,Workitem_1649596119,,,Deleted,,,,Workflow,,Workitem_1649596119
5500,Application_1006164631,W_Call after offers,2016-07-19T20:52:00.020+0100,SCHEDULE,New credit,Car,5000.0,,User_15,,Workitem_819865464,,,Created,,,,Workflow,,Workitem_819865464
5501,Application_1006164631,W_Call after offers,2016-07-19T20:52:00.022+0100,START,New credit,Car,5000.0,,User_15,,Workitem_255781331,,,Obtained,,,,Workflow,,Workitem_255781331
5502,Application_1006164631,A_Complete,2016-07-19T20:52:00.025+0100,COMPLETE,New credit,Car,5000.0,,User_15,,ApplState_2046333831,,,statechange,,,,Application,,ApplState_2046333831
5503,Application_1006164631,W_Call after offers,2016-07-19T20:52:43.603+0100,SUSPEND,New credit,Car,5000.0,,User_15,,Workitem_437037791,,,Released,,,,Workflow,,Workitem_437037791
5504,Application_1006164631,W_Call after offers,2016-07-23T16:19:25.653+0100,RESUME,New credit,Car,5000.0,,User_51,,Workitem_299790478,,,Obtained,,,,Workflow,,Workitem_299790478
5505,Application_1006164631,W_Call after offers,2016-07-23T16:20:23.217+0100,SUSPEND,New credit,Car,5000.0,,User_51,,Workitem_1142960800,,,Released,,,,Workflow,,Workitem_1142960800
5506,Application_1006164631,W_Call after offers,2016-08-02T16:09:12.124+0100,ATE_ABORT,New credit,Car,5000.0,,User_126,,Workitem_247633955,,,Deleted,,,,Workflow,,Workitem_247633955
5507,Application_1006164631,W_Validate application,2016-08-02T16:09:12.134+0100,SCHEDULE,New credit,Car,5000.0,,User_126,,Workitem_56006998,,,Created,,,,Workflow,,Workitem_56006998
5508,Application_1006164631,W_Validate application,2016-08-02T16:09:12.138+0100,START,New credit,Car,5000.0,,User_126,,Workitem_1264696232,,,Obtained,,,,Workflow,,Workitem_1264696232
5509,Application_1006164631,A_Validating,2016-08-02T16:09:13.260+0100,COMPLETE,New credit,Car,5000.0,,User_126,,ApplState_1658489759,,,statechange,,,,Application,,ApplState_1658489759
5510,Application_1006164631,O_Returned,2016-08-02T16:10:27.872+0100,COMPLETE,New credit,Car,5000.0,,User_126,,OfferState_88377998,Offer_1973148758,,statechange,,,,Offer,,OfferState_88377998
5511,Application_1006164631,W_Validate application,2016-08-02T16:12:21.119+0100,SUSPEND,New credit,Car,5000.0,,User_126,,Workitem_1190770797,,,Released,,,,Workflow,,Workitem_1190770797
5512,Application_1006164631,W_Validate application,2016-08-08T10:56:34.556+0100,RESUME,New credit,Car,5000.0,,User_93,,Workitem_990938229,,,Obtained,,,,Workflow,,Workitem_990938229
5513,Application_1006164631,W_Validate application,2016-08-08T11:12:05.160+0100,SUSPEND,New credit,Car,5000.0,,User_93,,Workitem_1746038579,,,Released,,,,Workflow,,Workitem_1746038579
5514,Application_1006164631,W_Validate application,2016-08-10T09:53:56.052+0100,RESUME,New credit,Car,5000.0,,User_68,,Workitem_2055629178,,,Obtained,,,,Workflow,,Workitem_2055629178
5515,Application_1006164631,W_Validate application,2016-08-10T10:00:16.058+0100,SUSPEND,New credit,Car,5000.0,,User_68,,Workitem_207106137,,,Released,,,,Workflow,,Workitem_207106137
